Time,SystemID,DeviceName,DeviceID,Event
2025-03-24 11:47:40,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:49:27,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:49:27,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 11:49:27,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 11:49:27,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 11:49:27,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:49:46,0x83dfd3a93d25,USB Input Device,USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Deletion
2025-03-24 11:49:50,0x83dfd3a93d25,USB Devices,,"USB Devices changed from ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:49:53,0x83dfd3a93d25,USB Input Device,USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Creation
2025-03-24 11:50:01,0x83dfd3a93d25,USB Devices,,"USB Devices changed from ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:53:40,0x83dfd3a93d25,USB Input Device,USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Deletion
2025-03-24 11:53:47,0x83dfd3a93d25,USB Devices,,"USB Devices changed from ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:53:48,0x83dfd3a93d25,USB Input Device,USB\VID_30FA&PID_0400\5&52206AA&0&4,Device Creation
2025-03-24 11:57:35,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 11:57:35,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
2025-03-24 11:57:35,0x83dfd3a93d25,GPU,,GPU changed from Unknown to Present
2025-03-24 11:57:35,0x83dfd3a93d25,Monitor,,Monitor changed from Unknown to Present
2025-03-24 11:57:35,0x83dfd3a93d25,USB Devices,,"USB Devices changed from Unknown to ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 13:27:30,0x83dfd3a93d25,Initial USB Devices,,"Connected: ACER HD User Facing, Camera DFU Device, USB Composite Device, USB Input Device, USB Root Hub (USB 3.0) (2), USB4 Root Router (1.0), USB4 Virtual power coordination device"
2025-03-24 13:27:30,0x83dfd3a93d25,Ethernet,,Ethernet changed from Unknown to Disconnected
